Number,Subsidy_Contract_Number,Star_Level,Star_Level_Cat,Star_Effective_Date,Facility_Name,Address,City,Zip,Phone,Capacity
K830021496,,,3,5/1/2012,LDCAA EARLY HEAD START,109 SOUTH 15TH,HUGO,74743,(580) 326-0709,12
K830052926,29088,,3,2/29/2016,IDABEL EARLY LEARNING CENTER,1203 SE QUINCY ST.,IDABEL,74745,(580) 326-7581,30
K820016529,16511,,3,10/1/2007,"GREEN, SHJAN CHILD CARE HOME",404 TORI DRIVE,IDABEL,74745,(580) 286-7062,12
K820031416,19503,,3,2/1/2004,"FINES, TAMMY CHILD CARE HOME",137 GYPSUM VALLEY DR.,IDABEL,74745,(580) 286-3829,12
K830005060,22847,,3,11/1/2006,"LEARNING TREE OF IDABEL, INC",1805 S. CENTRAL,IDABEL,74745,(580) 286-9123,90
K830023536,,,3,5/1/2012,LDCAA IDABEL EARLY HEAD ST.,1203 SE QUINCY,IDABEL,74745,(580) 208-2517,12
K820051466,59334,,3,1/1/2016,"RUTHERFORD, CATHY CHILD CARE HOME",37835 US HWY 59,JAY,74346,(918) 961-1212,12
K830052279,28991,,3,1/1/2015,"NEOCAA, INC. EARLY HEAD START",856 E. MELTON DR,JAY,74346,(918) 253-5891,24
K830003832,21940,,3,1/1/2002,LANGSTON UNIVERSITY EARLY CHILDHOOD DEVELOPMENT CE,LANGSTON UNIVERSITY,LANGSTON,73050,(405) 466-3465,60
K830023932,28025,,3,11/1/2009,CHILDREN'S CHATEAU EARLY HS,712 SW E AVENUE,LAWTON,73501,(580) 355-4320,53
K830005322,23280,,3,11/1/2002,SMART START # 4,1416 GORE BLVD #5,LAWTON,73501,(580) 248-3883,89
K830005324,23287,,3,11/1/2002,SMART START # 5,1310 NW FERRIS,LAWTON,73501,(580) 248-7788,80
K830022295,26872,,3,10/1/2008,KINDER CASTLE KINGDOM,910 W GORE,LAWTON,73501,(580) 357-9154,75
K830023435,27675,,3,5/17/2004,KINDERCASTLE,1913 W GORE,LAWTON,73501,(580) 248-4244,75
K830023927,28126,,3,7/1/2013,MIDWAY HEAD START,1405 SW 11TH,LAWTON,73505,(580) 351-1099,60
K830024832,28597,,3,11/1/2010,CREATIVE MOMENTS DAYCARE,1421 NW 67TH STREET,LAWTON,73505,(580) 536-7288,89
K830021098,26036,,3,12/1/2008,WONDER YEARS LEARNING ACADEMY,1804 NW 52ND,LAWTON,73505,(580) 353-6161,99
K830023677,27831,,3,7/1/2006,SMART START #6,5402 NW KINYON,LAWTON,73505,(580) 595-7063,120
K830023925,28125,,3,10/1/2013,EDUCATION ENGINE,2402 SW E AVENUE,LAWTON,73505,(580) 248-0474,163
K830023926,28026,,3,5/1/2006,FIRST START,2003 NW LINCOLN,LAWTON,73507,(580) 355-4333,32
K830024251,28553,,3,1/1/2014,SUMMIT RIDGE HEAD START,502 NE FLOWERMOUND RD,LAWTON,73507,(580) 354-9199,50
K820049810,58993,,3,10/1/2012,"SOSA, CYNTHIA MARIE CHILD CARE HOME",2212 NW 7TH STREET,LAWTON,73507,(580) 248-1671,7
K830005319,23277,,3,11/1/2002,SMART START # 2,30 NE 20TH STREET,LAWTON,73507,(580) 355-3924,120
K830024615,28442,,3,4/1/2011,MANNFORD LITTLE PIRATES CDC LLC,2693 N HIGHWAY 48,MANNFORD,74044,(918) 865-7104,41
K830023220,27606,,3,3/1/2014,CROSSROADS MAUD HEAD START,310 W. YOUNG,MAUD,74854,(405) 374-9085,20
K830007984,25341,,3,1/1/2002,IMWRF COMMUNITY OPERATIONS/CDC,CDC--ARMY AMM. PLANT,MCALESTER,74501,(918) 420-6204,66
K830022416,,,3,1/1/2002,IMWRF COMMUNITY OPERATION,1 C-TREE RD,MCALESTER,74501,(918) 420-7315,65
K820044590,57346,,3,10/1/2015,"JARVIS, CHANDA CHILD CARE HOME",9801 S 485 RD,MIAMI,74354,(918) 533-2616,12
K830004350,22313,,3,1/1/2002,KINDER CASTLE II,309 BIZZELL,MIDWEST CITY,73110,(405) 737-8790,260
K830004419,23805,,3,9/1/2005,LA PETITE ACADEMY,8821 E.RENO,MIDWEST CITY,73110,(405) 737-6954,103
K830021047,,,3,6/1/2013,DANA BROWN COOPER HEAD START,9300 N. E. 10,MIDWEST CITY,73130,(405) 733-0289,60
K830005047,25419,,3,9/1/2012,LA PETITE ACADEMY,1505 SOUTH POST RD.,MIDWEST CITY,73130,(405) 737-7233,110
K830005326,27130,,3,10/1/2012,KINDERCARE LEARNING CENTER,9105 APPLE DRIVE,MIDWEST CITY,73130,(405) 733-4127,128
K830024129,28124,,3,10/1/2016,KIDS USA 3,612 SE 19TH,MOORE,73160,(405) 793-0544,95
K830024730,28536,,3,5/3/2010,"BROADWAY KIDS OF MOORE, LLC",1940 N BROADWAY AVE,MOORE,73160,(405) 799-1515,120
K830024868,28640,,3,1/1/2017,TODAY'S BLESSINGS #2,110 NE 2ND STREET,MOORE,73160,(405) 735-8641,210
K830020674,25787,,3,7/1/2012,CROSSROADS KIDZ CLUB,2230 N. JANEWAY,MOORE,73160,(405) 794-6346,139
K830023241,27782,,3,5/1/2014,MOORE EXTENDED DAY HEAD START,312 N JANEWAY,MOORE,73160,(405) 912-9993,92
K830023627,27811,,3,2/1/2005,CHILDREN'S LIGHTHOUSE HARBOR,2016 N. BROADWAY,MOORE,73160,(405) 794-7728,71
K830023821,27940,,3,7/1/2009,"TODAYS GENERATION CHILD DEVELOPMENT CENTER, INC",9303 S SHIELDS BOULEVARD,MOORE,73160,(405) 794-7743,99
K830003828,23571,,3,12/1/2004,LA PETITE ACADEMY,609 S. E. 4TH,MOORE,73160,(405) 794-0261,110
K830004289,22920,,3,8/1/2014,KINDERCARE #975,1812 NORTH EASTERN,MOORE,73160,(405) 799-0344,130
K830023986,28063,,3,3/1/2013,MUSTANG CHILD DEVELOPMENT CN,451 N CLEARSPRINGS,MUSTANG,73064,(405) 376-4235,150
K830004312,25566,,3,6/1/2014,KINDERCARE #976,713 N.MUSTANG RD.,MUSTANG,73064,(405) 376-1330,99
K820050138,19461,,3,11/1/2013,"RAMIREZ, WANDA CHILD CARE HOME",211 N FRONT ST,NOBLE,73068,(405) 872-5910,12
K830020406,25944,,3,1/1/2002,INSTITUTE OF CHILD DEVELOPME,108 FOURTH STREET,NORMAN,73019,(405) 325-1641,30
K820048361,58584,,3,1/1/2009,"ANDERSON, CARA DBA SPARKLE KIDS LLC CHILD CARE HOME",5620 BLUE LAKE DR,NORMAN,73069,(405) 579-8931,12
K830023245,29155,,3,12/29/2016,ST. STEPHENS HEAD START,1801 W. BROOKS,NORMAN,73069,(405) 360-2124,44
K830023350,27640,,3,12/1/2013,BABY STEPS CHILD DEV. CENTER,941 NEBRASKA,NORMAN,73069,(405) 360-2717,23
K830023724,27992,,3,12/1/2013,MAIN ST. HEAD START & EARLY HEAD START,1333 W. MAIN,NORMAN,73069,(405) 292-6440,90
K830007410,23560,,3,2/1/2016,LA PETITE ACADEMY,1950 EAST ALAMEDA,NORMAN,73071,(405) 364-0250,110
K830021070,26010,,3,5/1/2015,CHILDRENS DISCOVERY CENTER,2205 E LINDSEY,NORMAN,73071,(405) 364-1111,90
K830023112,27699,,3,7/1/2013,CROSSROADS CHILD DEVELOPMENT CENTER,1111 EAST MAIN ST,NORMAN,73071,(405) 701-2123,77
K830002470,21408,,3,11/1/2016,KINDERCARE LEARNING CENTER,505 12TH AVE SE,NORMAN,73071,(405) 364-2844,78
K830024293,28225,,3,5/1/2012,"BRIGHT START EARLY EDUCATION #3 MUSTARD SEED, INC",1212 MCGEE,NORMAN,73072,(405) 360-1312,102
K830022110,26762,,3,7/1/2004,KINDERBERRY ACADEMY EARLY LEARNING SCHOOL,2795 BROCE DRIVE,NORMAN,73072,(405) 364-1234,122
K830023885,27982,,3,6/1/2013,KINDERCARE AT OU,2727 ASP,NORMAN,73072,(405) 325-0528,150
K830003982,23775,,3,12/1/2011,LA PETITE ACADEMY,3300 WEST ROBINSON,NORMAN,73072,(405) 360-9685,111
K830021308,26209,,3,10/1/2005,GREATER OKLA CITY YMCA,1 NW 4TH,OKLAHOMA CITY,73102,(405) 297-7760,106
K830000830,26122,,3,1/1/2010,ST LUKES CHILD DEV. CENTER,222 NW 15TH,OKLAHOMA CITY,73103,(405) 232-2391,220
K830022247,26920,,3,8/1/2005,EASTER SEALS CHILD DEVELOPMENT,701 N E 13TH STREET,OKLAHOMA CITY,73104,(405) 239-2525,100
K820039004,53846,,3,12/1/2016,"HILL, TERECA CHILD CARE HOME",30 NE 67TH,OKLAHOMA CITY,73105,(405) 858-8370,12
K830005457,,,3,12/1/2012,MCKINLEY HEAD START,1300 N. MCKINLEY,OKLAHOMA CITY,73106,(405) 524-5017,17
K830024276,28217,,3,10/1/2008,LINWOOD EARLY LEARNING CENTER,3034 NW 17TH STREET,OKLAHOMA CITY,73107,(405) 947-7722,180
K830021752,26475,,3,2/1/2009,"KIDZONE LEARNING CENTER, INC",4113 NW 10TH,OKLAHOMA CITY,73107,(405) 947-0001,100
K830000945,25754,,3,11/1/2012,CARVER MARK TWAIN,2412 W. MAIN ST.,OKLAHOMA CITY,73107,(405) 232-2006,30
K830005451,23680,,3,3/1/2009,OSU-OKC CHILD DEV CTR,3401 W. RENO,OKLAHOMA CITY,73107,(405) 945-3244,60
K830002870,,,3,9/26/2016,WILL ROGERS HEAD START,1621 S.W. 15,OKLAHOMA CITY,73108,(405) 634-4365,75
K830025064,28738,,3,1/1/2012,"CHILDCARE NETWORK, INC #204",1050 SW 36TH,OKLAHOMA CITY,73109,(405) 634-2083,140
K830022626,27161,,3,9/1/2005,THE CHILDREN'S PLACE @ ISMC,4101 S WESTERN,OKLAHOMA CITY,73109,(405) 631-5437,100
K830020833,25901,,3,1/1/2002,TONY REYES BILINGUAL CDC,5716 S WESTERN AVE.,OKLAHOMA CITY,73109,(405) 236-4667,60
K830023166,27539,,3,5/1/2013,METRO TECH HEAD START,3901 N MARTIN LUTHER KING AVE,OKLAHOMA CITY,73111,(405) 595-4750,90
K830005422,23559,,3,5/1/2013,PLAINVIEW HEAD START,7105 N. KELLEY,OKLAHOMA CITY,73111,(405) 843-8299,52
K830023318,27603,,3,11/1/2007,QUALITY CARE CHILD DEVELOPME,2342 NW 39TH,OKLAHOMA CITY,73112,(405) 525-5180,164
K830005250,23111,,3,1/1/2002,ACORN CHILDRENS CENTER I,3601 NW 51ST,OKLAHOMA CITY,73112,(405) 942-5420,180
K830005443,27049,,3,3/1/2009,THE CHILDRENS PLACE AT B.M.C,5600 N. INDEPENDENCE,OKLAHOMA CITY,73112,(405) 949-3750,165
K830022664,27189,,3,1/21/2002,"SPECIAL CARE, INC.",12201 N. WESTERN,OKLAHOMA CITY,73114,(405) 752-5112,184
K830022007,26663,,3,7/1/2003,HAPPY HEARTS,601 NORTH LOTTIE AVE,OKLAHOMA CITY,73117,(405) 232-0248,158
K830000496,25875,,3,5/1/2013,AVERY CHAPEL CHILD CARE,1425 N. KELHAM AVE.,OKLAHOMA CITY,73117,(405) 424-1088,105
K830021078,26031,,3,7/1/2012,HUGGER BEARS DAY CARE,1620 N E 9TH,OKLAHOMA CITY,73117,(405) 427-1422,30
K830052337,28989,,3,10/1/2016,"JO'S LITTLE RASCALS DAY CARE, LLC",2825 SW 41ST,OKLAHOMA CITY,73119,(405) 681-1413,112
K830021772,26464,,3,1/1/2006,NEXT GENERATION CHILD CARE,5320 S. PENN,OKLAHOMA CITY,73119,(405) 688-0060,147
K830001644,20491,,3,7/1/2002,LA PETITE LEARNING CENTER,2938 S.W. 59TH,OKLAHOMA CITY,73119,(405) 681-8427,95
K820050368,59091,,3,11/1/2011,"JONES, MARQUETTA L. CHILD CARE HOME",2504 NW 118TH,OKLAHOMA CITY,73120,(405) 749-0077,12
K830022401,,,3,11/1/2012,OUR SPOT HEAD START,1532 W HEFNER RD,OKLAHOMA CITY,73120,(405) 755-5136,54
K820032569,50356,,3,3/1/2008,"ROBERSON, FELISIA CHILD CARE HOME",2725 N. W. 110TH,OKLAHOMA CITY,73120,(405) 752-0259,12
K830005412,23518,,3,12/1/2014,CHILD TIME PENN,11624 N PENN,OKLAHOMA CITY,73120,(405) 751-6930,120
K830004568,,,3,1/1/2013,GARDEN HEAD START,2201 N. COLTRANE,OKLAHOMA CITY,73121,(405) 427-8515,20
K830005486,23804,,3,1/1/2002,CHILDRENS LIGHTHOUSE II,5816 NW 36TH,OKLAHOMA CITY,73122,(405) 947-4002,194
K830005484,23803,,3,1/1/2002,CHILDREN'S LIGHTHOUSE I,540 N. COUNCIL RD,OKLAHOMA CITY,73127,(405) 789-0661,90
K830023160,27478,,3,10/1/2011,"WORLD OF FUN, INC.",3906 S. SHIELDS,OKLAHOMA CITY,73129,(405) 631-0225,75
K830005411,23534,,3,4/1/2013,WEST OAK HEAD START,2100 SOUTH EVEREST,OKLAHOMA CITY,73129,(405) 677-8437,75
K830000677,20533,,3,1/1/2002,"OKC EDUCARE, INC",500 SE GRAND BLVD,OKLAHOMA CITY,73129,(405) 605-8232,212
K830025061,28737,,3,1/1/2012,"CHILDCARE NETWORK, INC. #203",7901 NW 85TH TERRACE,OKLAHOMA CITY,73132,(405) 621-9070,145
K830052392,29009,,3,3/1/2015,WEE KARE ACADEMY,7221 LYREWOOD LANE,OKLAHOMA CITY,73132,(405) 721-7766,100
K830024331,28256,,3,6/1/2010,GOD'S LITTLE TREASURES,8007 NW 89TH,OKLAHOMA CITY,73132,(405) 720-2232,110
K830023856,27961,,3,5/1/2015,KINDERCARE LEARNING CENTER,9202 N ROCKWELL,OKLAHOMA CITY,73132,(405) 722-4033,99
K830005413,23517,,3,11/1/2011,CHILD TIME (BRITTON),8221 W BRITTON ROAD,OKLAHOMA CITY,73132,(405) 722-5750,120
K830005528,25014,,3,1/1/2002,CHILDRENS LIGHTHOUSE III,6624 NW 63RD,OKLAHOMA CITY,73132,(405) 721-1830,150
K830025059,28736,,3,1/1/2012,"CHILDCARE NETWORK, INC. #202",3232 NW 150TH STREET,OKLAHOMA CITY,73134,(405) 752-0221,226
K830025063,28735,,3,1/1/2012,CHILDCARE NETWORK INC #201,4500 E I240 SERVICE RD,OKLAHOMA CITY,73135,(405) 672-2989,160
K820050204,59056,,3,5/1/2012,"JONES, FELECIA CHILD CARE HOME",5300 BENT CREEK DR,OKLAHOMA CITY,73135,(334) 447-1200,12
K830024225,28190,,3,1/1/2012,TRINA'S LEARNING CENTER,"209 SW 89TH, SUITE A",OKLAHOMA CITY,73139,(405) 609-2332,80
K830005398,23520,,3,10/1/2005,CHILD TIME DAY CARE (S. WESTERN),10212 SOUTH WESTERN,OKLAHOMA CITY,73139,(405) 691-0947,142
K830003226,21451,,3,1/1/2006,LA PETITE ACADEMY (74TH),1221 S.W. 74,OKLAHOMA CITY,73139,(405) 632-0536,96
K830004548,22477,,3,1/1/2002,FRANCIS-TUTTLE VO-TECH DCC,12777 N ROCKWELL,OKLAHOMA CITY,73142,(405) 717-4327,60
K830004321,22288,,3,11/1/2012,VALLEY BROOK HEAD START,6315 S.E.CAMILLE AVE,OKLAHOMA CITY,73149,(405) 670-6284,60
K830003663,26650,,3,4/1/2004,LA PETITE ACADEMY,1424 S.W. 104,OKLAHOMA CITY,73159,(405) 691-7064,114
K830004956,22709,,3,1/1/2002,OKC COMMUN. COLLEGE CDC,6500 S LAND AVENUE,OKLAHOMA CITY,73159,(405) 682-7561,140
K830005397,23526,,3,7/1/2011,CHILD TIME DAY CARE,8805 S MAY,OKLAHOMA CITY,73159,(405) 681-9940,142
K830003680,21866,,3,3/1/2004,LA PETITE ACADEMY (NW 94TH),7824 N.W. 94,OKLAHOMA CITY,73162,(405) 722-5448,99
K830004060,25353,,3,10/1/2004,LA PETITE ACADEMY (WARWICK),12100 N. WARWICK,OKLAHOMA CITY,73162,(405) 728-3547,99
K830005407,23522,,3,2/1/2006,CHILD TIME (N. ROCKWELL),11524 N ROCKWELL,OKLAHOMA CITY,73162,(405) 722-5431,130
K830007511,26812,,3,1/1/2002,THE LAUNCHING PAD,6101 SW 66TH ST,OKLAHOMA CITY,73169,(405) 954-4901,120
K830004143,22153,,3,3/1/2004,LA PETITE ACADEMY,13200 S. WESTERN,OKLAHOMA CITY,73170,(405) 691-6235,150
K830021975,26637,,3,12/1/2014,THE CHILDRENS DEPOT,8831 OWASSO EXPY,OWASSO,74055,(918) 274-0005,180
K830022687,27212,,3,9/1/2003,BLOSSOM DAY CARE CENTER #4,11505 E. 76TH ST N.,OWASSO,74055,(918) 272-6607,79
K830023923,28019,,3,8/1/2011,"KINDERCARE LEARNING CENTER, LLC",12922 E 76TH ST N,OWASSO,74055,(918) 274-7473,140
K830005087,22883,,3,1/1/2003,PIONEER TECH CENTER CHILDREN'S LAB,2101 NORTH ASH,PONCA CITY,74601,(580) 718-4268,29
K830024628,28523,,3,3/1/2012,SAND SPRINGS EARLY CHILDHOOD EDUCATION CENTER,1701 E. PARK ROAD,SAND SPRINGS,74063,(918) 419-2900,230
K830003739,21861,,3,5/1/2002,BLOSSOM DAY CARE CENTER,801 LONG STREET,SAND SPRINGS,74063,(918) 245-0058,96
K830020228,25613,,3,11/1/2011,BUTTONS & BOWS,3720 S 113TH W AVE,SAND SPRINGS,74063,(918) 245-4046,99
K830023218,,,3,6/1/2011,SAPULPA EARLY HEAD START/ HEAD START 2,1500 N HICKORY,SAPULPA,74066,(918) 224-1094,60
K830052389,29008,,3,3/1/2015,TRI-CITY ACADEMY,1805 W. WRANGLER BLVD.,SEMINOLE,74868,(405) 382-3777,125
K830023132,27678,,3,9/1/2010,SEMINOLE EARLY CHILDHOOD DEVELOPMENT CENTER,542 W STROTHER AVE,SEMINOLE,74868,(405) 303-2224,32
K830052390,29007,,3,3/1/2015,LITTLE PEOPLE'S DAYCARE,1540 N. MCKINLEY,SHAWNEE,74801,(405) 273-2869,88
K830023116,27608,,3,3/1/2013,LEARNING TREE EARLY CHILDHOOD DEVELOPMENT CENTER,1528 N MCKINLEY,SHAWNEE,74801,(405) 214-4446,68
K830023533,27821,,3,12/1/2013,UNION STREET HEAD START,501 N UNION,SHAWNEE,74801,(405) 214-4323,120
K830003312,21549,,3,4/1/2006,LUV' N STUF,2630 N. BEARD,SHAWNEE,74804,(405) 275-5762,30
K830007798,23527,,3,3/1/2005,GORDON COOPER ECEC,1 JOHN C. BRUTON BLV,SHAWNEE,74804,(405) 273-7493,18
K830024341,28259,,3,12/1/2014,"AMIE MCDANIEL CHILD CARE, INC.",4031 N. UNION,SHAWNEE,74804,(405) 275-4000,125
K830021757,26531,,3,9/1/2014,SKIATOOK SCHOOLS,355 S OSAGE,SKIATOOK,74070,(918) 396-5730,64
