County,PerCapita,MedianHouseHoldIncome,MedianFamilyIncome,Population,NumHouseholds
McClain,"$23,556 ","$53,708 ","$63,796 ","34,506","12,891"
McCurtain,"$17,456 ","$31,082 ","$42,404 ","33,151","12,958"
McIntosh,"$16,095 ","$30,620 ","$36,572 ","20,252","8,460"
Murray,"$20,634 ","$40,870 ","$46,929 ","13,488","5,350"
Muskogee,"$19,161 ","$37,002 ","$46,818 ","70,990","27,054"
Noble,"$20,032 ","$39,515 ","$51,311 ","11,561","4,614"
Nowata,"$20,752 ","$37,500 ","$48,710 ","10,536","4,224"
Okfuskee,"$15,046 ","$33,286 ","$42,130 ","12,191","4,354"
Oklahoma,"$25,723 ","$42,916 ","$54,724 ","718,633","287,598"
Okmulgee,"$19,071 ","$37,820 ","$46,833 ","40,069","15,362"
Osage,"$21,446 ","$41,125 ","$51,292 ","47,472","18,205"
Ottawa,"$17,638 ","$35,483 ","$42,616 ","31,848","12,345"
Pawnee,"$19,520 ","$40,059 ","$46,800 ","16,577","6,486"
Payne,"$19,540 ","$34,752 ","$54,394 ","77,350","30,177"
Pittsburg,"$20,714 ","$39,245 ","$49,298 ","45,837","18,012"
Pontotoc,"$21,136 ","$37,484 ","$48,494 ","37,492","14,654"
Pottawatomie,"$19,437 ","$40,085 ","$49,517 ","69,442","25,911"
Pushmataha,"$15,460 ","$26,742 ","$37,500 ","11,572","4,809"
Roger Mills,"$28,427 ","$48,917 ","$57,738 ","3,647","1,470"
Rogers,"$25,358 ","$57,443 ","$65,861 ","86,905","31,884"
Seminole,"$17,032 ","$32,985 ","$43,174 ","25,482","9,750"
Sequoyah,"$18,049 ","$36,357 ","$43,069 ","42,391","16,208"
Stephens,"$22,790 ","$43,524 ","$54,908 ","45,048","18,127"
Texas,"$21,356 ","$44,623 ","$57,434 ","20,640","7,212"
Tillman,"$15,894 ","$29,832 ","$39,177 ","7,992","3,216"
Tulsa,"$26,769 ","$45,613 ","$58,820 ","603,403","241,737"
Wagoner,"$24,049 ","$55,487 ","$61,694 ","73,085","26,878"
Washington,"$26,663 ","$44,823 ","$55,272 ","50,976","21,036"
Washita,"$21,511 ","$43,039 ","$53,143 ","11,629","4,599"
Woods,"$24,292 ","$48,076 ","$59,252 ","8,878","3,533"
Woodward,"$24,635 ","$49,672 ","$56,540 ","20,081","7,654"
